date,l_ipn,r_asn,f
9/2/06,5,2152,5
9/2/06,5,3561,2
9/2/06,5,4134,3
9/2/06,5,4755,2
9/2/06,5,4837,5
9/2/06,5,6128,2
9/2/06,5,6197,2
9/2/06,5,7132,2
9/2/06,5,8070,3
9/2/06,5,8075,5
9/2/06,5,9318,1
9/2/06,5,11845,1
9/2/06,5,13867,2
9/2/06,5,14265,2
9/2/06,5,15703,1
9/2/06,5,17557,1
9/2/06,5,18302,1
9/2/06,5,18566,2
9/2/06,5,18942,1
9/2/06,5,31110,1
9/2/06,6,4134,5
9/2/06,6,4837,3
9/2/06,6,6128,2
9/2/06,6,6197,4
9/2/06,6,7132,2
9/2/06,6,9318,2
9/2/06,6,9394,4
9/2/06,6,9803,1
9/2/06,6,11845,1
9/2/06,6,14265,2
9/2/06,6,15703,2
9/2/06,6,17557,1
9/2/06,6,18302,1
9/2/06,6,18566,2
9/2/06,6,18942,2
9/2/06,7,1213,2
9/2/06,7,1239,6
9/2/06,7,2152,6
9/2/06,7,3701,2
9/2/06,7,4589,14
9/2/06,7,6372,1
9/2/06,7,8070,1
9/2/06,7,8075,2
9/2/06,7,8560,1
9/2/06,7,9156,9
9/2/06,7,14265,2
9/2/06,7,15169,94
9/2/06,7,18566,2
9/2/06,7,18924,48
9/2/06,7,21844,126
9/2/06,7,22753,2
9/2/06,7,30099,2
9/2/06,7,33322,2
9/2/06,7,36856,19
9/2/06,8,38,6
9/2/06,8,174,4
9/2/06,8,680,5
9/2/06,8,714,1
9/2/06,8,1114,3
9/2/06,8,1239,3
9/2/06,8,1653,5
9/2/06,8,1668,9
9/2/06,8,2152,36
9/2/06,8,2553,37
9/2/06,8,2669,3
9/2/06,8,3356,3
9/2/06,8,3561,7
9/2/06,8,4264,2
9/2/06,8,5662,18
9/2/06,8,7018,21
9/2/06,8,7896,4
9/2/06,8,8075,2
9/2/06,8,8137,28
9/2/06,8,8188,2
9/2/06,8,10316,4
9/2/06,8,10565,4
9/2/06,8,10763,9
9/2/06,8,10933,9
9/2/06,8,11303,2
9/2/06,8,11834,7
9/2/06,8,12168,5
9/2/06,8,12222,3
9/2/06,8,13749,2
9/2/06,8,13827,12
9/2/06,8,14265,1
9/2/06,8,14361,3
9/2/06,8,14742,2
9/2/06,8,15169,416
9/2/06,8,15171,2
9/2/06,8,16807,1
9/2/06,8,17055,5
9/2/06,8,17557,1956
9/2/06,8,18566,1
9/2/06,8,20940,2
9/2/06,8,21568,2
9/2/06,8,26201,2
9/2/06,8,26238,5
9/2/06,8,26347,1
9/2/06,8,29720,5
9/2/06,8,29854,2
9/2/06,8,30217,76
9/2/06,8,30315,1
9/2/06,8,30687,7
9/2/06,8,31883,1
9/2/06,8,32878,1
9/2/06,8,35845,1
9/2/06,9,2152,1
9/2/06,9,8070,1
9/2/06,9,8075,2
9/3/06,0,209,1
9/3/06,0,701,2
9/3/06,0,1680,1
9/3/06,0,3561,18
9/3/06,0,3671,3
9/3/06,0,4134,3
9/3/06,0,4230,1
9/3/06,0,4279,2
9/3/06,0,5466,1
9/3/06,0,5617,1
9/3/06,0,7015,1
9/3/06,0,7018,1
9/3/06,0,7132,2
9/3/06,0,7497,2
9/3/06,0,8708,1
9/3/06,0,10139,1
9/3/06,0,10429,1
9/3/06,0,10796,1
9/3/06,0,13462,29
9/3/06,0,14390,1
9/3/06,0,15802,504
9/3/06,0,16755,1
9/3/06,0,17557,1
9/3/06,0,17839,1
9/3/06,0,19262,1
9/3/06,0,21615,1
9/3/06,0,24863,6
9/3/06,0,33070,1
9/3/06,2,1312,84
9/3/06,2,1853,30
9/3/06,2,3557,19
9/3/06,2,3561,7
9/3/06,2,4323,6
9/3/06,2,5650,13
9/3/06,2,6106,1
9/3/06,2,7018,144
9/3/06,2,7132,2
9/3/06,2,7377,84
9/3/06,2,8001,1
9/3/06,2,11939,8
9/3/06,2,12129,1
9/3/06,2,12182,2
9/3/06,2,14425,14
9/3/06,2,15169,8
9/3/06,2,15802,374
9/3/06,2,29863,6
9/3/06,2,30099,9
9/3/06,2,30217,70
9/3/06,2,31405,50
9/3/06,2,33260,3
9/3/06,2,33650,208
9/3/06,2,33651,6
9/3/06,3,4134,3
9/3/06,3,4279,2
9/3/06,3,4766,2
9/3/06,3,7497,42
9/3/06,3,14745,2
9/3/06,3,15802,2
9/3/06,3,18942,1
9/3/06,4,2828,3
9/3/06,4,4279,636
9/3/06,4,4323,1
9/3/06,4,6428,1
9/3/06,4,7132,2
9/3/06,4,7497,2
9/3/06,4,15802,249
9/3/06,4,31976,83
9/3/06,4,33651,13
9/3/06,5,209,1
9/3/06,5,2152,4
9/3/06,5,2828,5
9/3/06,5,3462,1
9/3/06,5,3561,1
9/3/06,5,4134,1
9/3/06,5,4279,2
9/3/06,5,4766,2
9/3/06,5,7497,22
9/3/06,5,8070,6
9/3/06,5,8075,4
9/3/06,5,13867,2
9/3/06,5,14745,4
9/3/06,5,15802,1
9/3/06,5,18942,1
9/3/06,6,3356,1
9/3/06,6,4134,3
9/3/06,6,4279,2
9/3/06,6,4766,4
9/3/06,6,7497,22
9/3/06,6,9394,5
9/3/06,6,14745,5
9/3/06,6,15802,2
9/3/06,6,17431,1
9/3/06,6,18942,2
9/3/06,6,24139,13
9/3/06,7,2152,2
9/3/06,7,3701,1
9/3/06,7,8070,1
9/3/06,7,8075,2
9/3/06,7,9156,24
9/3/06,7,15169,100
9/3/06,7,18924,48
9/3/06,7,36856,48
9/3/06,8,2152,1
9/3/06,8,8075,2
9/3/06,8,15169,4
9/3/06,9,2152,2
9/3/06,9,8070,1
9/3/06,9,8075,4
9/4/06,0,209,1
9/4/06,0,701,8
9/4/06,0,3462,2
9/4/06,0,3561,32
9/4/06,0,3671,17
9/4/06,0,4134,5
9/4/06,0,4780,2
9/4/06,0,4837,7
9/4/06,0,5610,1
9/4/06,0,5617,1
9/4/06,0,6478,1
9/4/06,0,6724,1
9/4/06,0,6739,1
9/4/06,0,7770,1
9/4/06,0,8560,2
9/4/06,0,8972,1
9/4/06,0,9371,1
9/4/06,0,9929,1
9/4/06,0,10318,1
9/4/06,0,10439,2
9/4/06,0,11351,1
9/4/06,0,11427,2
9/4/06,0,12501,5
9/4/06,0,12735,1
9/4/06,0,13462,42
9/4/06,0,20484,1
9/4/06,0,21844,1
9/4/06,0,27357,1
9/4/06,0,27699,2
9/4/06,0,31034,1
9/4/06,0,33657,1
9/4/06,0,34033,1
9/4/06,0,35047,1
9/4/06,2,1312,139
9/4/06,2,1853,1
9/4/06,2,3561,8
9/4/06,2,4134,1
9/4/06,2,4181,1
9/4/06,2,4323,7
9/4/06,2,5650,13
9/4/06,2,7018,147
9/4/06,2,7132,2
9/4/06,2,7377,139
9/4/06,2,9371,1
9/4/06,2,11939,12
9/4/06,2,12129,1
9/4/06,2,12182,4
9/4/06,2,13749,1
9/4/06,2,15169,7
9/4/06,2,27596,2
9/4/06,2,29863,2
9/4/06,2,30099,7
9/4/06,2,31405,20
9/4/06,2,33260,3
9/4/06,2,33650,170
9/4/06,2,33651,6
9/4/06,3,2828,1
9/4/06,3,3462,3
9/4/06,3,4134,15
9/4/06,3,4837,6
9/4/06,3,6356,1
9/4/06,3,7482,1
9/4/06,3,9371,2
9/4/06,3,13768,4
9/4/06,4,1668,48
9/4/06,4,3320,2
9/4/06,4,4134,3
9/4/06,4,4837,3
9/4/06,4,6356,2
9/4/06,4,6428,1
9/4/06,4,7482,7
9/4/06,4,8001,1
9/4/06,4,9371,1
9/4/06,4,29895,105
9/4/06,4,31976,83
9/4/06,5,209,1
9/4/06,5,2152,5
9/4/06,5,2828,4
9/4/06,5,3462,2
9/4/06,5,3561,1
9/4/06,5,4134,23
9/4/06,5,4837,5
9/4/06,5,6356,2
9/4/06,5,7482,1
9/4/06,5,8070,4
9/4/06,5,8075,7
9/4/06,5,9371,1
9/4/06,5,13768,3
9/4/06,5,13867,2
9/4/06,6,2828,1
9/4/06,6,2914,1
9/4/06,6,3462,4
9/4/06,6,4134,24
9/4/06,6,4812,2
9/4/06,6,4837,6
9/4/06,6,6356,1
9/4/06,6,7482,1
9/4/06,6,9371,1
9/4/06,6,9394,4
9/4/06,6,13768,4
9/4/06,6,24139,4
9/4/06,7,1239,11
9/4/06,7,2152,3
9/4/06,7,2611,1
9/4/06,7,3701,2
9/4/06,7,4134,1
9/4/06,7,8070,1
9/4/06,7,8075,4
9/4/06,7,8560,2
9/4/06,7,9156,24
9/4/06,7,15169,102
9/4/06,7,18924,57
9/4/06,7,21844,36
9/4/06,7,36856,48
9/4/06,8,26,6
9/4/06,8,794,5
9/4/06,8,1239,27
9/4/06,8,1668,6
9/4/06,8,2152,9
9/4/06,8,3356,2
9/4/06,8,3462,169
9/4/06,8,3561,21
9/4/06,8,3701,1
9/4/06,8,4134,1
9/4/06,8,5662,24
9/4/06,8,8075,4
9/4/06,8,9318,1
9/4/06,8,14743,10
9/4/06,8,14829,5
9/4/06,8,15169,471
9/4/06,8,16509,16
9/4/06,8,20940,8
9/4/06,8,21845,2
9/4/06,8,23123,1
9/4/06,8,30217,54
9/4/06,8,30315,2
9/4/06,8,31883,1
9/4/06,8,32618,1
9/4/06,8,36351,854
9/4/06,8,36856,4
9/4/06,9,2152,1
9/4/06,9,8070,2
9/4/06,9,8075,2
9/5/06,0,209,1
9/5/06,0,701,4
9/5/06,0,3269,2
9/5/06,0,3352,1
9/5/06,0,3356,1
9/5/06,0,3561,23
9/5/06,0,3671,12
9/5/06,0,4134,2
9/5/06,0,4279,2
9/5/06,0,4766,2
9/5/06,0,4837,2
9/5/06,0,5384,1
9/5/06,0,5466,2
9/5/06,0,5483,1
9/5/06,0,6432,2
9/5/06,0,6461,1
9/5/06,0,6713,1
9/5/06,0,6724,1
9/5/06,0,6830,2
9/5/06,0,6871,1
9/5/06,0,6939,1
9/5/06,0,7015,1
9/5/06,0,7470,5
9/5/06,0,7482,2
9/5/06,0,7738,1
9/5/06,0,8075,1
9/5/06,0,9121,2
9/5/06,0,9371,1905
9/5/06,0,9459,1
9/5/06,0,11351,1
9/5/06,0,11486,1
9/5/06,0,11829,1
9/5/06,0,13462,43
9/5/06,0,13867,1
9/5/06,0,15083,2
9/5/06,0,15802,1
9/5/06,0,19893,1
9/5/06,0,20115,1
9/5/06,0,21844,2
9/5/06,0,25346,1
9/5/06,0,34037,1
9/5/06,2,81,2
9/5/06,2,174,1
9/5/06,2,209,75
9/5/06,2,1312,142
9/5/06,2,3561,7
9/5/06,2,4323,4
9/5/06,2,5650,125
9/5/06,2,6360,1
9/5/06,2,7018,214
9/5/06,2,7132,2
9/5/06,2,7377,141
9/5/06,2,11414,24
9/5/06,2,11939,14
9/5/06,2,12182,8
9/5/06,2,14425,74
9/5/06,2,15083,2
9/5/06,2,15169,4
9/5/06,2,19918,325
9/5/06,2,29863,4
9/5/06,2,30099,7
9/5/06,2,33260,8
9/5/06,2,33650,28
9/5/06,2,33651,8
9/5/06,2,36856,2
9/5/06,3,701,2
9/5/06,3,2828,2
9/5/06,3,4134,8
9/5/06,3,4279,4
9/5/06,3,4515,1
9/5/06,3,4766,2
9/5/06,3,6356,1
9/5/06,3,6496,4
9/5/06,3,9803,3
9/5/06,3,12322,2
9/5/06,3,15083,1
9/5/06,3,15290,2
9/5/06,3,16482,2
9/5/06,3,35177,1
9/5/06,3,39570,1
9/5/06,4,2828,6
9/5/06,4,3561,6
9/5/06,4,4279,636
9/5/06,4,4323,1
9/5/06,4,4766,1
9/5/06,4,6356,2
9/5/06,4,7132,8
9/5/06,4,9371,2
9/5/06,4,14778,2
9/5/06,4,15083,1
9/5/06,4,19548,2
9/5/06,4,22855,16
9/5/06,4,23342,3
9/5/06,4,26496,2
9/5/06,4,29895,84
9/5/06,4,31976,84
9/5/06,4,33651,285
9/5/06,5,4134,3
9/5/06,5,6356,2
9/5/06,6,701,2
9/5/06,6,2828,2
9/5/06,6,4134,15
9/5/06,6,4279,2
9/5/06,6,4515,1
9/5/06,6,4766,2
9/5/06,6,4812,2
9/5/06,6,6140,1
9/5/06,6,6356,1
9/5/06,6,6496,6
9/5/06,6,9394,1
9/5/06,6,11303,1
9/5/06,6,12322,1
9/5/06,6,15083,2
9/5/06,6,15290,2
9/5/06,6,16482,2
9/5/06,6,35177,4
9/5/06,7,109,1
9/5/06,7,1226,41
9/5/06,7,2152,7
9/5/06,7,3701,2
9/5/06,7,4265,9
9/5/06,7,6263,2
9/5/06,7,6432,10
9/5/06,7,7838,19
9/5/06,7,8070,4
9/5/06,7,9156,11
9/5/06,7,10763,3
9/5/06,7,11051,5
9/5/06,7,15169,79
9/5/06,7,17229,3
9/5/06,7,17230,6
9/5/06,7,18924,46
9/5/06,7,20940,4
9/5/06,7,21844,183
9/5/06,7,27364,7
9/5/06,7,36856,21
9/5/06,8,109,1
9/5/06,8,174,6
9/5/06,8,299,3
9/5/06,8,1653,8
9/5/06,8,1668,19
9/5/06,8,2152,1
9/5/06,8,3701,1
9/5/06,8,5662,45
9/5/06,8,6461,1
9/5/06,8,8075,2
9/5/06,8,10763,2
9/5/06,8,12168,1
9/5/06,8,12222,3
9/5/06,8,15169,274
9/5/06,8,26914,8
9/5/06,8,27364,2
9/5/06,8,33070,1
9/5/06,8,35177,1
9/5/06,8,36856,4
9/5/06,9,2152,1
9/5/06,9,8070,1
9/5/06,9,8075,2
9/5/06,9,11922,1
9/6/06,0,701,12
9/6/06,0,2828,2
9/6/06,0,2914,2
9/6/06,0,3216,1
9/6/06,0,3356,1
9/6/06,0,3462,1
9/6/06,0,3561,23
9/6/06,0,3671,6
9/6/06,0,4134,1
9/6/06,0,4750,1
9/6/06,0,4766,1
9/6/06,0,4780,1
9/6/06,0,4812,2
9/6/06,0,4837,2
9/6/06,0,5462,1
9/6/06,0,5610,1
9/6/06,0,6197,1
9/6/06,0,6400,1
9/6/06,0,6432,1
9/6/06,0,6461,1
9/6/06,0,6724,1
9/6/06,0,6939,2
9/6/06,0,7018,2
9/6/06,0,7132,2
9/6/06,0,7497,2
9/6/06,0,8151,1
9/6/06,0,8708,2
9/6/06,0,9498,1
9/6/06,0,9506,2
9/6/06,0,9800,1
9/6/06,0,9929,1
9/6/06,0,12322,1
9/6/06,0,13074,1
9/6/06,0,13462,51
9/6/06,0,13749,1
9/6/06,0,13867,2
9/6/06,0,14492,2
9/6/06,0,15201,1
9/6/06,0,15334,1
9/6/06,0,15395,1
9/6/06,0,16245,2
9/6/06,0,17228,1
9/6/06,0,17621,4
9/6/06,0,17896,1
9/6/06,0,18566,1
9/6/06,0,19296,1
9/6/06,0,19916,2
9/6/06,0,20115,1
9/6/06,0,27699,1
9/6/06,0,29119,1
9/6/06,0,29717,1
9/6/06,0,30099,1
9/6/06,0,32244,1
9/6/06,0,33667,1
9/6/06,0,34126,1
9/6/06,0,35654,1
9/6/06,0,36351,1
9/6/06,2,25,5
9/6/06,2,131,33
9/6/06,2,209,99
9/6/06,2,1312,85
9/6/06,2,2152,42
9/6/06,2,2914,3
9/6/06,2,3561,15
9/6/06,2,4323,1
9/6/06,2,4760,10
9/6/06,2,4983,6
9/6/06,2,5650,212
9/6/06,2,6364,3
9/6/06,2,6432,2
9/6/06,2,7018,153
9/6/06,2,7132,6
9/6/06,2,7377,85
9/6/06,2,8001,1
9/6/06,2,10763,2
9/6/06,2,11414,27
9/6/06,2,11486,1
9/6/06,2,14425,5
9/6/06,2,14719,6
9/6/06,2,15169,16
9/6/06,2,19918,104
9/6/06,2,20940,6
9/6/06,2,21844,100
9/6/06,2,21910,2
9/6/06,2,26803,9
9/6/06,2,29668,5
9/6/06,2,29863,12
9/6/06,2,30099,3
9/6/06,2,33260,5
9/6/06,2,33419,1
9/6/06,2,33650,19
9/6/06,2,33651,38
9/6/06,2,35845,1
9/6/06,2,36017,1
9/6/06,2,36856,3
9/6/06,3,376,1
9/6/06,3,4134,6
9/6/06,3,4713,2
9/6/06,3,4837,1
9/6/06,3,7132,4
9/6/06,3,7497,22
9/6/06,3,13285,1
9/6/06,3,13488,2
9/6/06,3,13571,1
9/6/06,3,15703,1
9/6/06,3,16531,2
9/6/06,4,2856,1
9/6/06,4,3561,9
9/6/06,4,4713,3
9/6/06,4,6428,1
9/6/06,4,7132,33
9/6/06,4,7497,2
9/6/06,4,8708,1
9/6/06,4,14778,2
9/6/06,4,17620,2
9/6/06,4,20001,13
9/6/06,4,22855,28
9/6/06,4,23342,3
9/6/06,4,31976,83
9/6/06,4,33651,548
9/6/06,6,376,1
9/6/06,6,3269,14
9/6/06,6,3352,1
9/6/06,6,4134,6
9/6/06,6,4713,1
9/6/06,6,7132,11
9/6/06,6,7497,22
9/6/06,6,8708,2
9/6/06,6,9803,1
9/6/06,6,13488,4
9/6/06,6,13571,1
9/6/06,6,16531,4
9/6/06,6,17964,2
9/6/06,7,3,1
9/6/06,7,109,2
9/6/06,7,1741,5
9/6/06,7,2033,5
9/6/06,7,2152,3
9/6/06,7,2914,2
9/6/06,7,3246,5
9/6/06,7,3356,2
9/6/06,7,3561,8
9/6/06,7,3701,2
9/6/06,7,6057,2
9/6/06,7,6356,4
9/6/06,7,6432,8
9/6/06,7,8070,3
9/6/06,7,9156,4
9/6/06,7,12222,4
9/6/06,7,15169,63
9/6/06,7,16582,5
9/6/06,7,17234,2
9/6/06,7,18924,52
9/6/06,7,19024,1
9/6/06,7,20940,1
9/6/06,7,21844,85
9/6/06,7,26347,1
9/6/06,7,30217,10
9/6/06,7,36856,10
9/6/06,8,3,11
9/6/06,8,109,2
9/6/06,8,132,4
9/6/06,8,209,2
9/6/06,8,714,15
9/6/06,8,1103,19
9/6/06,8,1668,12
9/6/06,8,2152,29
9/6/06,8,2914,4
9/6/06,8,3561,2
9/6/06,8,3701,1
9/6/06,8,4265,26
9/6/06,8,5662,35
9/6/06,8,6057,1
9/6/06,8,6461,2
9/6/06,8,7263,3
9/6/06,8,8075,2
9/6/06,8,8182,1
9/6/06,8,10565,2
9/6/06,8,10763,3
9/6/06,8,10933,5
9/6/06,8,11106,3
9/6/06,8,11486,4
9/6/06,8,11739,7
9/6/06,8,14833,4
9/6/06,8,15169,338
9/6/06,8,16509,7
9/6/06,8,16966,8
9/6/06,8,17225,1
9/6/06,8,20940,6
9/6/06,8,23342,46
9/6/06,8,30176,19
9/6/06,8,30217,92
9/6/06,8,35845,2
9/6/06,8,36856,4
9/6/06,9,2152,1
9/6/06,9,8070,1
9/6/06,9,8075,2
9/7/06,0,209,1
9/7/06,0,701,3
9/7/06,0,2152,1
9/7/06,0,2914,2
9/7/06,0,3352,1
9/7/06,0,3561,50
9/7/06,0,3595,1
9/7/06,0,3671,7
9/7/06,0,4134,7
9/7/06,0,4279,2
9/7/06,0,4544,1
9/7/06,0,4812,1
9/7/06,0,4837,1
9/7/06,0,4847,1
9/7/06,0,6057,2
9/7/06,0,6432,2
9/7/06,0,6461,1
9/7/06,0,6871,1
9/7/06,0,6939,1
9/7/06,0,7693,1
9/7/06,0,8002,1
9/7/06,0,8047,1
9/7/06,0,8151,1
9/7/06,0,8167,1
9/7/06,0,8708,1
9/7/06,0,9080,1
9/7/06,0,9121,1
9/7/06,0,9800,4
9/7/06,0,9943,1
9/7/06,0,11486,1
9/7/06,0,13432,1
9/7/06,0,13462,36
9/7/06,0,13867,1
9/7/06,0,14117,1
9/7/06,0,14492,1
9/7/06,0,14742,1
9/7/06,0,16338,1
9/7/06,0,21003,1
9/7/06,0,21709,1
9/7/06,0,26096,1
9/7/06,0,26831,1
9/7/06,0,29717,1
9/7/06,0,30099,2
9/7/06,0,30256,1
9/7/06,0,33379,1
9/7/06,0,35970,1
9/7/06,0,36351,1
9/7/06,2,131,148
9/7/06,2,209,20
9/7/06,2,1239,5
9/7/06,2,1312,85
9/7/06,2,2152,125
9/7/06,2,2914,45
9/7/06,2,3561,59
9/7/06,2,3701,1
9/7/06,2,4323,5
9/7/06,2,4513,2
9/7/06,2,4780,2
9/7/06,2,4983,45
9/7/06,2,5650,171
9/7/06,2,6432,17
9/7/06,2,7018,322
9/7/06,2,7132,50
9/7/06,2,7342,2
9/7/06,2,7377,84
9/7/06,2,7393,20
9/7/06,2,7774,1
9/7/06,2,7837,6
9/7/06,2,8939,1
9/7/06,2,9800,1
9/7/06,2,9831,5
9/7/06,2,10837,36
9/7/06,2,10910,6
9/7/06,2,10933,2
9/7/06,2,11414,22
9/7/06,2,11588,9
9/7/06,2,12168,3
9/7/06,2,12179,1
9/7/06,2,12182,20
9/7/06,2,13749,4
9/7/06,2,13890,4
9/7/06,2,14113,5
9/7/06,2,14425,54
9/7/06,2,14719,6
9/7/06,2,14806,2
9/7/06,2,15169,88
9/7/06,2,16509,5
9/7/06,2,16572,1
9/7/06,2,17225,3
9/7/06,2,18530,7
9/7/06,2,19918,404
9/7/06,2,20940,24
9/7/06,2,21844,125
9/7/06,2,23342,8
9/7/06,2,25655,26
9/7/06,2,25751,7
